# gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm 
# Idx      %      %      %      %      %      %     MB     MB     MB 
    0      0      0      0      0      0      0     89      3      0 
    0      0      0      0      0      0      0    257      6      0 
    0      2      0      0      0      0      0    399      6      0 
    0      0      0      0      0      0      0    793      6      0 
    0     19      9      0      0      0      0    793      6      0 
    0     25     13      0      0      0      0    793      6      0 
    0     23     11      0      0      0      0    793      6      0 
    0     24     11      0      0      0      0    793      6      0 
    0     23     10      0      0      0      0    793      6      0 
    0     25     14      0      0      0      0    793      6      0 
    0      8      3      0      0      0      0    793      6      0 
    0      3      1      0      0      0      0    793      6      0 
    0      8      4      0      0      0      0    793      6      0 
    0     21     11      0      0      0      0    793      6      0 
    0      3      2      0      0      0      0    793      6      0 
    0     10      4      0      0      0      0    793      6      0 
    0     22     10      0      0      0      0    793      6      0 
    0      4      2      0      0      0      0    793      6      0 
    0      0      0      0      0      0      0    263      6      0 
    0      0      0      0      0      0      0    263      6      0 
    0      0      0      0      0      0      0     89      3      0 
    0      0      0      0      0      0      0     89      3      0 
    0      0      0      0      0      0      0     89      3      0 
    0      0      0      0      0      0      0     89      3      0 
    0      0      0      0      0      0      0     89      3      0 
    0      0      0      0      0      0      0     89      3      0 
    0      0      0      0      0      0      0     89      3      0 
    0      0      0      0      0      0      0     89      3      0 
    0      0      0      0      0      0      0     89      3      0 
    0      0      0      0      0      0      0     89      3      0 
